"Polnoletni storilci zoper katere je bil kazenski postopek pri državnem tožilstvu konèan po kaznivem dejanju, spolu, starosti ob storitvi kaznivega dejanja in vrsti odloèbe, Slovenija, letno"

"KAZNIVO DEJANJE";"VRSTA ODLOÈBE";"Moški Starost - SKUPAJ 2013";"Moški Starost - SKUPAJ 2014";"Moški Starost - SKUPAJ 2015";"Moški Starost - SKUPAJ 2016";"Moški Starost - SKUPAJ 2017";"Moški Starost - SKUPAJ 2018";"Moški Starost - SKUPAJ 2019";"Moški Starost - SKUPAJ 2020";"Moški do 20 let 2013";"Moški do 20 let 2014";"Moški do 20 let 2015";"Moški do 20 let 2016";"Moški do 20 let 2017";"Moški do 20 let 2018";"Moški do 20 let 2019";"Moški do 20 let 2020";"Moški od 21 do 30 let 2013";"Moški od 21 do 30 let 2014";"Moški od 21 do 30 let 2015";"Moški od 21 do 30 let 2016";"Moški od 21 do 30 let 2017";"Moški od 21 do 30 let 2018";"Moški od 21 do 30 let 2019";"Moški od 21 do 30 let 2020";"Moški od 31 do 40 let 2013";"Moški od 31 do 40 let 2014";"Moški od 31 do 40 let 2015";"Moški od 31 do 40 let 2016";"Moški od 31 do 40 let 2017";"Moški od 31 do 40 let 2018";"Moški od 31 do 40 let 2019";"Moški od 31 do 40 let 2020";"Moški od 41 do 50 let 2013";"Moški od 41 do 50 let 2014";"Moški od 41 do 50 let 2015";"Moški od 41 do 50 let 2016";"Moški od 41 do 50 let 2017";"Moški od 41 do 50 let 2018";"Moški od 41 do 50 let 2019";"Moški od 41 do 50 let 2020";"Moški od 51 do 60 let 2013";"Moški od 51 do 60 let 2014";"Moški od 51 do 60 let 2015";"Moški od 51 do 60 let 2016";"Moški od 51 do 60 let 2017";"Moški od 51 do 60 let 2018";"Moški od 51 do 60 let 2019";"Moški od 51 do 60 let 2020";"Moški nad 60 let 2013";"Moški nad 60 let 2014";"Moški nad 60 let 2015";"Moški nad 60 let 2016";"Moški nad 60 let 2017";"Moški nad 60 let 2018";"Moški nad 60 let 2019";"Moški nad 60 let 2020";"Ženske Starost - SKUPAJ 2013";"Ženske Starost - SKUPAJ 2014";"Ženske Starost - SKUPAJ 2015";"Ženske Starost - SKUPAJ 2016";"Ženske Starost - SKUPAJ 2017";"Ženske Starost - SKUPAJ 2018";"Ženske Starost - SKUPAJ 2019";"Ženske Starost - SKUPAJ 2020";"Ženske do 20 let 2013";"Ženske do 20 let 2014";"Ženske do 20 let 2015";"Ženske do 20 let 2016";"Ženske do 20 let 2017";"Ženske do 20 let 2018";"Ženske do 20 let 2019";"Ženske do 20 let 2020";"Ženske od 21 do 30 let 2013";"Ženske od 21 do 30 let 2014";"Ženske od 21 do 30 let 2015";"Ženske od 21 do 30 let 2016";"Ženske od 21 do 30 let 2017";"Ženske od 21 do 30 let 2018";"Ženske od 21 do 30 let 2019";"Ženske od 21 do 30 let 2020";"Ženske od 31 do 40 let 2013";"Ženske od 31 do 40 let 2014";"Ženske od 31 do 40 let 2015";"Ženske od 31 do 40 let 2016";"Ženske od 31 do 40 let 2017";"Ženske od 31 do 40 let 2018";"Ženske od 31 do 40 let 2019";"Ženske od 31 do 40 let 2020";"Ženske od 41 do 50 let 2013";"Ženske od 41 do 50 let 2014";"Ženske od 41 do 50 let 2015";"Ženske od 41 do 50 let 2016";"Ženske od 41 do 50 let 2017";"Ženske od 41 do 50 let 2018";"Ženske od 41 do 50 let 2019";"Ženske od 41 do 50 let 2020";"Ženske od 51 do 60 let 2013";"Ženske od 51 do 60 let 2014";"Ženske od 51 do 60 let 2015";"Ženske od 51 do 60 let 2016";"Ženske od 51 do 60 let 2017";"Ženske od 51 do 60 let 2018";"Ženske od 51 do 60 let 2019";"Ženske od 51 do 60 let 2020";"Ženske nad 60 let 2013";"Ženske nad 60 let 2014";"Ženske nad 60 let 2015";"Ženske nad 60 let 2016";"Ženske nad 60 let 2017";"Ženske nad 60 let 2018";"Ženske nad 60 let 2019";"Ženske nad 60 let 2020"
"5.XXIII.206020 rop - od. 2";"Odloèba tožilstva - SKUPAJ";3;1;11;3;-;-;-;-;2;-;3;1;-;-;-;-;1;-;5;-;-;-;-;-;0;1;2;2;-;-;-;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.207 roparska tatvina";"Odloèba tožilstva - SKUPAJ";-;16;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;2;-;-;-;-;-;8;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.207010 roparska tatvina - od. 1";"Odloèba tožilstva - SKUPAJ";-;14;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;2;-;-;-;-;-;6;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;2;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.207020 roparska tatvina - od. 2";"Odloèba tožilstva - SKUPAJ";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.208 zatajitev";"Odloèba tožilstva - SKUPAJ";35;90;98;42;-;-;-;-;3;6;3;2;-;-;-;-;12;30;29;11;-;-;-;-;7;19;28;12;-;-;-;-;5;16;23;10;-;-;-;-;5;14;10;3;-;-;-;-;3;5;5;4;-;-;-;-;7;30;33;13;-;-;-;-;0;3;4;-;-;-;-;-;1;9;5;4;-;-;-;-;3;4;7;5;-;-;-;-;0;7;5;1;-;-;-;-;3;6;6;3;-;-;-;-;0;1;6;-;-;-;-;-
"5.XXIII.208010 zatajitev - od. 1";"Odloèba tožilstva - SKUPAJ";13;31;44;15;-;-;-;-;0;-;1;-;-;-;-;-;6;7;12;2;-;-;-;-;3;9;11;4;-;-;-;-;1;9;16;6;-;-;-;-;1;5;4;2;-;-;-;-;2;1;-;1;-;-;-;-;2;8;9;5;-;-;-;-;0;1;1;-;-;-;-;-;1;1;1;1;-;-;-;-;0;2;1;1;-;-;-;-;0;2;1;1;-;-;-;-;1;2;3;2;-;-;-;-;0;-;2;-;-;-;-;-
"5.XXIII.208020 zatajitev - od. 2";"Odloèba tožilstva - SKUPAJ";2;6;7;1;-;-;-;-;0;1;-;-;-;-;-;-;0;2;-;1;-;-;-;-;1;2;4;-;-;-;-;-;0;-;1;-;-;-;-;-;1;1;2;-;-;-;-;-;0;-;-;-;-;-;-;-;1;8;10;1;-;-;-;-;0;1;2;-;-;-;-;-;0;5;2;-;-;-;-;-;1;-;4;1;-;-;-;-;0;-;-;-;-;-;-;-;0;2;1;-;-;-;-;-;0;-;1;-;-;-;-;-
"5.XXIII.208031 zatajitev - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.208040 zatajitev - od. 4";"Odloèba tožilstva - SKUPAJ";-;2;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.208050 zatajitev - od. 5";"Odloèba tožilstva - SKUPAJ";20;50;44;24;-;-;-;-;3;5;2;2;-;-;-;-;6;20;17;8;-;-;-;-;3;7;12;7;-;-;-;-;4;6;6;3;-;-;-;-;3;8;3;1;-;-;-;-;1;4;4;3;-;-;-;-;4;14;12;6;-;-;-;-;0;1;1;-;-;-;-;-;0;3;2;3;-;-;-;-;2;2;2;2;-;-;-;-;0;5;3;-;-;-;-;-;2;2;1;1;-;-;-;-;0;1;3;-;-;-;-;-
"5.XXIII.209 poneverba in neupravièena uporaba tujega premoženja";"Odloèba tožilstva - SKUPAJ";7;20;24;13;-;-;-;-;3;-;-;1;-;-;-;-;3;3;5;3;-;-;-;-;1;11;11;4;-;-;-;-;0;1;5;2;-;-;-;-;0;4;3;3;-;-;-;-;0;1;-;-;-;-;-;-;0;7;8;6;-;-;-;-;0;1;-;1;-;-;-;-;0;1;-;1;-;-;-;-;0;2;3;-;-;-;-;-;0;1;3;3;-;-;-;-;0;2;2;1;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.209010 poneverba in neupravièena uporaba tujega premoženja - od. 1";"Odloèba tožilstva - SKUPAJ";6;16;19;12;-;-;-;-;3;-;-;1;-;-;-;-;2;2;5;3;-;-;-;-;1;8;9;4;-;-;-;-;0;1;4;2;-;-;-;-;0;4;1;2;-;-;-;-;0;1;-;-;-;-;-;-;0;1;5;5;-;-;-;-;0;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;3;-;-;-;-;-;0;-;1;3;-;-;-;-;0;1;1;1;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.209021 poneverba in neupravièena uporaba tujega premoženja - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.209031 poneverba in neupravièena uporaba tujega premoženja - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";1;3;3;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;0;3;2;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;3;1;1;-;-;-;-;0;1;-;-;-;-;-;-;0;1;-;1;-;-;-;-;0;1;-;-;-;-;-;-;0;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.209041 poneverba in neupravièena uporaba tujega premoženja - od. 4 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.209051 poneverba in neupravièena uporaba tujega premoženja - od. 5 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.210 odvzem motornega vozila";"Odloèba tožilstva - SKUPAJ";1;9;6;2;-;-;-;-;0;1;2;-;-;-;-;-;0;6;4;-;-;-;-;-;1;1;-;2;-;-;-;-;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.210010 odvzem motornega vozila - od. 1";"Odloèba tožilstva - SKUPAJ";-;9;4;1;-;-;-;-;-;1;1;-;-;-;-;-;-;6;3;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.210031 odvzem motornega vozila - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";1;-;2;1;-;-;-;-;0;-;1;-;-;-;-;-;0;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.211 goljufija";"Odloèba tožilstva - SKUPAJ";105;228;197;118;-;-;-;-;7;9;8;7;-;-;-;-;27;63;61;31;-;-;-;-;34;75;56;34;-;-;-;-;25;47;43;30;-;-;-;-;10;23;21;7;-;-;-;-;2;11;8;9;-;-;-;-;36;65;56;29;-;-;-;-;0;2;3;2;-;-;-;-;11;19;12;7;-;-;-;-;13;19;22;7;-;-;-;-;4;12;11;12;-;-;-;-;5;7;7;1;-;-;-;-;3;6;1;-;-;-;-;-
"5.XXIII.211010 goljufija - od. 1";"Odloèba tožilstva - SKUPAJ";43;95;91;61;-;-;-;-;3;-;1;3;-;-;-;-;7;21;30;13;-;-;-;-;16;38;22;15;-;-;-;-;11;26;16;18;-;-;-;-;5;9;16;4;-;-;-;-;1;1;6;8;-;-;-;-;18;24;25;18;-;-;-;-;0;1;3;2;-;-;-;-;3;7;5;4;-;-;-;-;7;8;8;4;-;-;-;-;3;4;5;8;-;-;-;-;3;1;3;-;-;-;-;-;2;3;1;-;-;-;-;-
"5.XXIII.211021 goljufija - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;3;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.211031 goljufija - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";3;7;15;18;-;-;-;-;0;-;-;2;-;-;-;-;2;-;1;7;-;-;-;-;1;2;6;5;-;-;-;-;0;3;6;3;-;-;-;-;0;1;2;1;-;-;-;-;0;1;-;-;-;-;-;-;0;2;4;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;2;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;2;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.211041 goljufija - od. 4 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.211051 goljufija - od. 5 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";59;116;84;39;-;-;-;-;4;9;7;2;-;-;-;-;18;40;29;11;-;-;-;-;17;31;23;14;-;-;-;-;14;16;20;9;-;-;-;-;5;11;3;2;-;-;-;-;1;9;2;1;-;-;-;-;18;38;26;11;-;-;-;-;0;1;-;-;-;-;-;-;8;11;7;3;-;-;-;-;6;11;12;3;-;-;-;-;1;7;5;4;-;-;-;-;2;6;2;1;-;-;-;-;1;2;-;-;-;-;-;-
"5.XXIII.211060 goljufija - od. 6";"Odloèba tožilstva - SKUPAJ";-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-
"5.XXIII.212 organiziranje denarnih verig in nedovoljeno prirejanje iger na sreèo";"Odloèba tožilstva - SKUPAJ";3;2;-;3;-;-;-;-;0;-;-;1;-;-;-;-;3;2;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;1;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;1;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.212020 organiziranje denarnih verig in nedovoljeno prirejanje iger na sreèo - od. 2";"Odloèba tožilstva - SKUPAJ";3;2;-;2;-;-;-;-;0;-;-;1;-;-;-;-;3;2;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.212031 organiziranje denarnih verig in nedovoljeno prirejanje iger na sreèo - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.212041 organiziranje denarnih verig in nedovoljeno prirejanje iger na sreèo - od. 4 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.213 izsiljevanje";"Odloèba tožilstva - SKUPAJ";4;36;42;19;-;-;-;-;0;3;-;4;-;-;-;-;3;11;11;1;-;-;-;-;0;12;19;11;-;-;-;-;1;4;6;3;-;-;-;-;0;4;4;-;-;-;-;-;0;2;2;-;-;-;-;-;0;3;5;2;-;-;-;-;0;-;-;-;-;-;-;-;0;1;-;1;-;-;-;-;0;1;2;1;-;-;-;-;0;-;2;-;-;-;-;-;0;1;1;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.213010 izsiljevanje - od. 1";"Odloèba tožilstva - SKUPAJ";2;22;25;8;-;-;-;-;0;2;-;-;-;-;-;-;2;8;4;-;-;-;-;-;0;7;16;6;-;-;-;-;0;2;3;2;-;-;-;-;0;1;2;-;-;-;-;-;0;2;-;-;-;-;-;-;0;1;2;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;1;-;-;-;-;0;1;2;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.213020 izsiljevanje - od. 2";"Odloèba tožilstva - SKUPAJ";-;1;1;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.213031 izsiljevanje - od. 3 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";2;12;15;8;-;-;-;-;0;-;-;3;-;-;-;-;1;3;7;1;-;-;-;-;0;5;3;4;-;-;-;-;1;2;3;-;-;-;-;-;0;2;1;-;-;-;-;-;0;-;1;-;-;-;-;-;0;1;3;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;1;-;-;-;-;0;-;2;-;-;-;-;-;0;1;1;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.213032 izsiljevanje - od. 3 v zvezi z od. 2";"Odloèba tožilstva - SKUPAJ";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.214 oderuštvo";"Odloèba tožilstva - SKUPAJ";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.214000 oderuštvo";"Odloèba tožilstva - SKUPAJ";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.215 izneverjanje";"Odloèba tožilstva - SKUPAJ";1;3;5;4;-;-;-;-;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;1;1;1;1;-;-;-;-;0;-;3;-;-;-;-;-;0;-;-;2;-;-;-;-;0;1;1;1;-;-;-;-;1;-;5;4;-;-;-;-;0;-;-;1;-;-;-;-;0;-;-;1;-;-;-;-;0;-;2;1;-;-;-;-;1;-;2;1;-;-;-;-;0;-;1;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.215010 izneverjanje - od. 1";"Odloèba tožilstva - SKUPAJ";1;-;2;2;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;0;-;1;-;-;-;-;-;0;-;-;1;-;-;-;-;0;-;1;-;-;-;-;-;0;-;2;3;-;-;-;-;0;-;-;1;-;-;-;-;0;-;-;1;-;-;-;-;0;-;2;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.215021 izneverjanje - od. 2 v zvezi z od. 1";"Odloèba tožilstva - SKUPAJ";0;1;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-
"5.XXIII.215032 izneverjanje - od. 3 v zvezi z od. 2";"Odloèba tožilstva - SKUPAJ";-;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-
"5.XXIII.216 zloraba izvršbe";"Odloèba tožilstva - SKUPAJ";1;5;7;4;-;-;-;-;0;-;1;-;-;-;-;-;0;1;-;1;-;-;-;-;1;-;3;1;-;-;-;-;0;3;-;-;-;-;-;-;0;-;2;1;-;-;-;-;0;1;1;1;-;-;-;-;0;1;5;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;2;-;-;-;-;-;0;-;1;-;-;-;-;-;0;-;2;-;-;-;-;-
"5.XXIII.216010 zloraba izvršbe - od. 1";"Odloèba tožilstva - SKUPAJ";1;5;7;3;-;-;-;-;0;-;1;-;-;-;-;-;0;1;-;1;-;-;-;-;1;-;3;-;-;-;-;-;0;3;-;-;-;-;-;-;0;-;2;1;-;-;-;-;0;1;1;1;-;-;-;-;0;1;5;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;0;1;2;-;-;-;-;-;0;-;1;-;-;-;-;-;0;-;2;-;-;-;-;-
