"Izbrani podatki po obèinah, Slovenija, letno"

"MERITVE";"OBÈINE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Jezersko";784.21;803.36;849.45;835.94;819.03;905.14;921.54;1007.57;925.39;969.87;1011.53;1008.90;1000.78;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Juršinci";863.54;896.33;916.13;913.19;846.23;817.49;864.06;876.65;905.81;922.42;970.10;1040.46;1138.92;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kamnik";809.38;845.76;887.69;898.37;896.85;897.46;898.68;926.54;948.70;969.92;991.16;1022.91;1084.64;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kanal";938.96;979.49;973.76;993.17;1002.29;931.46;955.87;960.06;964.06;1011.30;1041.05;1062.30;1127.68;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kidrièevo";766.10;719.28;740.69;756.12;788.38;823.27;833.92;831.51;833.00;874.77;932.81;963.97;990.61;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kobarid";811.20;828.21;859.28;878.18;861.35;872.47;901.46;884.72;896.19;909.89;943.63;985.32;1043.67;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kobilje";804.59;790.28;834.12;868.91;815.20;818.88;835.83;862.42;890.77;946.23;957.38;991.59;1068.19;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Koèevje";758.95;794.42;844.50;862.65;862.63;869.93;875.23;887.93;907.24;935.08;971.99;1013.81;1083.93;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Komen";847.70;857.25;884.21;889.49;895.25;844.01;834.57;846.05;854.93;872.75;896.59;925.25;987.17;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Komenda";866.31;918.14;1000.33;1017.57;1018.46;1015.49;1018.36;1059.70;1098.88;1156.69;1156.10;1193.57;1259.02;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Koper/Capodistria";941.87;973.33;994.80;1010.03;1016.36;1020.49;1029.76;1049.49;1066.58;1100.66;1122.34;1176.38;1228.75;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kostanjevica na Krki";582.32;591.54;667.29;706.11;710.74;710.32;703.03;704.07;747.82;774.14;831.98;868.06;929.94;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kostel";814.06;866.84;878.85;887.26;900.18;849.98;838.18;929.49;934.61;954.95;950.54;1009.09;1061.35;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kozje";799.03;845.66;863.07;881.47;892.45;863.72;879.25;897.14;925.28;945.55;936.47;965.49;994.61;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kranj";929.06;951.52;987.75;1008.79;1027.88;1027.52;1022.17;1034.31;1044.37;1072.85;1103.15;1132.00;1188.73;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kranjska Gora";860.96;864.62;869.34;890.69;877.77;881.61;886.62;884.13;900.34;938.11;975.07;1023.02;1012.51;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Križevci";883.37;944.68;938.26;946.67;977.25;987.70;974.33;978.17;1004.05;1044.71;1095.15;1133.95;1265.71;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Krško";932.58;951.00;986.85;1001.97;1021.78;1021.21;1031.32;1045.54;1059.11;1097.00;1127.57;1169.26;1245.43;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kungota";816.82;847.55;859.22;879.69;893.92;888.59;871.38;866.25;852.40;867.43;881.43;916.80;978.17;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Kuzma";706.86;698.45;734.02;821.27;781.11;772.23;797.67;818.42;803.84;829.75;836.98;917.21;982.39;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Laško";837.76;857.97;896.90;928.53;924.79;900.65;887.13;912.18;926.55;944.51;969.50;1000.25;1031.69;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Lenart";745.38;775.10;811.55;823.31;826.33;836.76;850.68;874.43;884.93;930.06;935.39;964.53;1049.16;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Lendava/Lendva";807.38;844.09;881.53;884.69;907.07;903.99;894.62;901.40;924.11;955.20;983.14;1031.95;1120.96;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Litija";749.77;778.37;823.34;842.47;840.67;838.63;875.42;851.45;884.30;912.50;936.55;980.90;1063.26;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ljubljana";1042.35;1081.27;1106.95;1125.64;1124.97;1125.61;1130.74;1140.33;1159.83;1197.56;1231.47;1281.66;1379.09;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ljubno";736.21;770.48;825.13;837.57;881.10;911.61;909.97;939.49;964.19;1003.81;1036.37;1081.63;1145.71;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Ljutomer";770.64;806.66;881.04;891.48;904.37;913.45;922.25;926.72;952.18;992.31;1031.56;1067.33;1128.49;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Log - Dragomer";745.43;781.91;811.10;779.16;814.07;879.19;884.93;895.82;908.44;941.86;967.11;994.51;1035.57;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Logatec";815.12;872.77;907.71;930.81;940.37;939.82;945.93;945.89;970.51;998.01;1029.12;1073.38;1135.94;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Loška dolina";799.78;796.41;836.57;844.59;828.85;817.28;803.78;818.95;856.09;882.85;898.67;931.23;987.47;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Loški Potok";853.25;836.64;892.68;935.17;936.79;884.82;935.60;962.99;976.19;1006.02;1035.74;1045.23;1134.19;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Lovrenc na Pohorju";771.01;781.22;822.00;804.87;821.51;804.99;816.83;837.36;866.15;893.83;933.23;978.34;1054.31;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Luèe";676.93;732.25;800.87;851.48;843.28;850.44;878.99;851.60;844.64;868.71;897.23;932.51;1017.23;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Lukovica";927.96;971.57;1029.02;1007.62;1002.25;1019.49;1011.98;1003.91;1042.10;1073.66;1110.97;1164.64;1251.29;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Majšperk";644.46;748.18;747.05;796.53;789.13;780.68;799.29;808.55;828.97;875.10;935.44;1000.49;1093.81;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Makole";636.36;718.84;748.32;752.99;793.87;810.98;785.92;778.33;827.35;868.98;901.83;938.18;963.80;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Maribor";871.09;909.07;945.16;964.64;969.07;966.40;971.46;980.80;997.25;1026.49;1048.38;1084.82;1165.09;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Markovci";800.69;833.29;876.54;870.17;859.67;854.99;822.03;809.85;865.56;876.73;939.16;976.35;1047.06;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Medvode";842.29;885.27;929.43;927.07;928.29;938.00;943.19;948.37;973.11;1001.94;1042.13;1102.65;1138.99;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Mengeš";815.98;819.66;845.62;957.21;937.73;918.34;937.86;947.68;947.73;955.72;979.70;1013.56;1066.56;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Metlika";721.15;749.19;777.11;819.89;812.78;828.38;832.23;850.26;863.10;886.53;914.95;950.63;1017.53;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Mežica";821.67;854.51;908.50;944.23;940.28;966.60;1024.66;1039.03;1048.19;1083.74;1143.36;1195.89;1191.15;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Miklavž na Dravskem polju";794.23;801.44;817.36;868.49;891.79;852.28;848.96;839.99;839.26;856.16;880.51;923.51;970.50;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Miren - Kostanjevica";823.22;823.17;864.91;885.76;902.98;924.33;928.36;920.68;942.13;966.90;996.93;1020.76;1036.52;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Mirna";-;-;-;-;916.50;924.61;925.82;941.20;955.05;1014.70;1010.45;1016.54;1060.04;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Mirna Peè";844.18;864.67;894.67;947.37;892.86;885.79;914.84;889.98;896.72;918.04;924.36;994.07;1092.93;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Mislinja";840.08;781.76;827.00;818.88;852.60;853.18;842.85;826.42;821.35;824.86;842.53;861.37;914.61;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Mokronog - Trebelno";760.04;747.95;819.52;870.85;834.47;833.39;871.90;886.48;907.20;919.57;937.62;1027.47;1041.53;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Moravèe";913.21;856.43;899.70;922.43;903.47;886.38;920.97;935.27;945.51;951.98;972.60;993.71;1038.58;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Moravske Toplice";767.96;797.83;810.54;818.79;822.11;815.46;810.79;794.34;819.24;833.88;885.71;909.69;947.88;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Mozirje";828.84;837.32;862.30;878.32;882.07;883.31;868.88;888.14;909.52;957.39;964.66;1003.02;1080.06;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Murska Sobota";762.37;834.05;894.32;902.34;905.37;912.37;941.59;959.41;980.28;1012.23;1044.08;1096.19;1196.32;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Muta";788.00;773.22;826.71;861.27;862.36;894.18;907.67;927.47;950.58;972.44;1019.56;1055.25;1110.26;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Naklo";893.53;874.83;911.21;957.41;957.83;995.43;974.86;941.90;960.39;992.57;1041.45;1067.62;1130.77;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Nazarje";693.99;712.26;816.77;841.88;854.37;888.54;931.76;973.97;983.80;1019.61;1022.66;1072.53;1172.22;...
"Povpreèna meseèna neto plaèa na zaposleno osebo (EUR)";"Nova Gorica";971.55;994.66;1027.89;1032.97;1022.04;1016.28;1017.28;1027.20;1041.90;1073.36;1096.87;1139.95;1185.18;...
